spanish	reference	candidate	bleu	rogue	pos_reference	pos_candidate	bleu_pos	rogue_pos
¡Intentemos algo!	Let's try something.	Let's try something!	59.460355750136046	0.6666666616666668	AUX PRON VERB NOUN PUNCT	AUX PRON VERB NOUN PUNCT	100.00000000000004	0.999999995
Tengo que irme a dormir.	I have to go to sleep.	I have to go to sleep.	100.00000000000004	0.999999995	PRON VERB ADV VERB ADP PRON PUNCT	PRON VERB ADV VERB ADP PRON PUNCT	100.00000000000004	0.999999995
¿Qué estás haciendo?	What are you doing?	What are you doing?	100.00000000000004	0.999999995	PRON VERB PRON VERB PUNCT	PRON VERB PRON VERB PUNCT	100.00000000000004	0.999999995
¿Qué es eso?	What is it?	What's that?	0.0	0.0	PRON VERB PRON PUNCT	PRON VERB PRON PUNCT	100.00000000000004	0.999999995
¡Hoy es 18 de junio y es el cumpleaños de Muiriel!	Today is June 18th and it is Muiriel's birthday!	Today is June 18th and it's Muiriel's birthday!	53.417359568998464	0.874999995	ADV VERB SYM NUM CCONJ PRON VERB PROPN PRON NUM PUNCT	ADV VERB SYM NUM CCONJ PRON VERB PROPN PRON NUM PUNCT	100.00000000000004	0.999999995
¡Feliz cumpleaños, Muiriel!	Happy birthday, Muiriel!	Happy birthday, Muiriel!	100.00000000000004	0.999999995	ADJ NOUN PUNCT PROPN PUNCT	ADJ NOUN PUNCT PROPN PUNCT	100.00000000000004	0.999999995
Ahora, Muiriel tiene 20 años.	Muiriel is 20 now.	Now, Muiriel is 20 years old.	22.089591134157878	0.5999999952	PROPN VERB NUM ADV PUNCT	ADV PUNCT PROPN VERB NUM NOUN ADJ PUNCT	25.848657697858535	0.6666666618055556
"La contraseña es ""Muiriel""."	"The password is ""Muiriel""."	"The password is ""Muiriel""."	100.00000000000004	0.999999995	DET NOUN VERB PROPN PROPN PROPN PUNCT	DET NOUN VERB PROPN PROPN PROPN PUNCT	100.00000000000004	0.999999995
Volveré pronto.	I'll be back soon.	I'll be back soon.	100.00000000000004	0.999999995	PRON AUX VERB ADV ADV PUNCT	PRON AUX VERB ADV ADV PUNCT	100.00000000000004	0.999999995
No tengo palabras.	I have no words.	I have no words.	100.00000000000004	0.999999995	PRON VERB DET NOUN PUNCT	PRON VERB DET NOUN PUNCT	100.00000000000004	0.999999995
