spanish	reference	candidate	bleu	rogue	pos_reference	pos_candidate	bleu_pos	rogue_pos
¡Intentemos algo!	Let's try something.	Let's try something!	59.460355750136046	0.6666666616666668	AUX PRON VERB NOUN PUNCT	AUX PRON VERB NOUN PUNCT	100.00000000000004	0.999999995
Tengo que irme a dormir.	I have to go to sleep.	I have to go to sleep.	100.00000000000004	0.999999995	PRON VERB PART VERB ADP PROPN PUNCT	PRON VERB PART VERB ADP PROPN PUNCT	100.00000000000004	0.999999995
¿Qué estás haciendo?	What are you doing?	What are you doing?	100.00000000000004	0.999999995	PRON VERB NOUN VERB PUNCT	PRON VERB NOUN VERB PUNCT	100.00000000000004	0.999999995
¿Qué es eso?	What is it?	What's that?	0.0	0.0	PRON AUX VERB PUNCT	INTJ VERB PROPN PUNCT	18.99589214128981	0.4999999950000001
¡Hoy es 18 de junio y es el cumpleaños de Muiriel!	Today is June 18th and it is Muiriel's birthday!	Today is June 18th and it's Muiriel's birthday!	53.417359568998464	0.874999995	INTJ INTJ PROPN PUNCT X X X X X X X	INTJ INTJ PROPN X X X X X X X X	70.16879391277372	0.8571428522448981
¡Feliz cumpleaños, Muiriel!	Happy birthday, Muiriel!	Happy birthday, Muiriel!	100.00000000000004	0.999999995	X X X X X	X X X X X	100.00000000000004	0.999999995
Ahora, Muiriel tiene 20 años.	Muiriel is 20 now.	Now, Muiriel is 20 years old.	22.089591134157878	0.5999999952	X SYM NUM NOUN PUNCT	PUNCT INTJ PROPN VERB NUM NOUN ADJ PUNCT	12.22307556087252	0.499999995138889
"La contraseña es ""Muiriel""."	"The password is ""Muiriel""."	"The password is ""Muiriel""."	100.00000000000004	0.999999995	X X X X X X PUNCT	X X X X X X PUNCT	100.00000000000004	0.999999995
Volveré pronto.	I'll be back soon.	I'll be back soon.	100.00000000000004	0.999999995	PRON AUX VERB INTJ INTJ PUNCT	PRON AUX VERB INTJ INTJ PUNCT	100.00000000000004	0.999999995
No tengo palabras.	I have no words.	I have no words.	100.00000000000004	0.999999995	PRON VERB X X X	PRON VERB X X X	100.00000000000004	0.999999995
Esto no acabará nunca.	This is never going to end.	This will never end.	17.030578356760866	0.5999999952	NOUN VERB ADV VERB PART VERB PUNCT	NOUN AUX ADV VERB PUNCT	20.252884954471366	0.7999999950000002
Simplemente no sé qué decir...	I just don't know what to say.	I just don't know what to say...	75.98356856515926	0.999999995	PRON ADV VERB ADV VERB PRON AUX VERB PUNCT	PRON ADV VERB ADV VERB PRON AUX VERB PUNCT	100.00000000000004	0.999999995
Era un conejo malo.	That was an evil bunny.	It was a bad rabbit.	9.652434877402245	0.19999999500000015	PUNCT VERB DET PUNCT INTJ PUNCT	PRON VERB NUM ADJ NOUN PUNCT	9.652434877402245	0.39999999520000007
Yo estaba en las montañas.	I was in the mountains.	I was in the mountains.	100.00000000000004	0.999999995	PRON VERB X X X PUNCT	PRON VERB X X X PUNCT	100.00000000000004	0.999999995
¿Es una foto reciente?	Is it a recent picture?	Is that a recent photo?	19.304869754804482	0.5999999950000001	VERB X X X NOUN PUNCT	VERB X X X X SYM	50.81327481546149	0.5714285665306124
No sé si tengo tiempo.	I don't know if I have the time.	I don't know if I have time.	67.5291821812656	0.9230769181065088	PRON VERB ADV VERB INTJ PRON VERB PROPN PROPN PUNCT	PRON VERB ADV VERB INTJ PRON VERB NOUN PUNCT	67.16877364745231	0.8333333283333335
Todo el mundo debe aprender por sí mismo al final.	Everyone must learn on their own in the end.	Everyone must learn for themselves in the end.	38.62752974508188	0.7058823479584776	PRON AUX VERB ADP X X X X X X	PRON AUX VERB X X X X X X	66.90484408935988	0.8888888839506174
La educación en este mundo me decepciona.	Education in this world disappoints me.	Education in this world disappoints me.	100.00000000000004	0.999999995	X X X X X X X	X X X X X X X	100.00000000000004	0.999999995
El aprendizaje no debe ser forzado, sino estimulado.	Learning should not be forced. Learning should be encouraged.	Learning should not be forced, but stimulated.	37.40548510898885	0.6153846104142012	NOUN AUX X X X X X X X X X	NOUN AUX ADV VERB INTJ X X VERB PUNCT	10.798033448421632	0.5999999958
